""
"Indicator name: Methane (CH4) emissions, per capita  Data Source: null(http://edgar.jrc.ec.europa.eu/), European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v5.0 (1970 - 2015) of November 2019.(http://edgar.jrc.ec.europa.eu/)"
"Description: CH4 emission divided by the population expressed in kilogram per capita. CH4 emission is estimated using a model from the National Institute for Public Health and the Environment, the Netherlands (RIVM) by the following EDGAR divisions: energy, agriculture, waste and others. Others include industrial process emissions, nitrous oxide usage and tropical and temperate forest fires."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2005","993.71"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2006","1010.46"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2007","984.08"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2008","987.21"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2009","909.58"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2010","974.81"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2011","948.53"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2012","944.85"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2013","961.68"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2014","922.97"
"Greenhouse gas (GHG) emissions, total (metric tons of CO2 equivalent)","Germany","2015","928.69"
"Indicator name: Methane emissions (CH4) from agriculture  Data Source: FAO (http://www.fao.org/), FAOSTAT Agriculture database(http://faostat3.fao.org/home/E)"
"Description: Emissions produced in the different agricultural emissions sub-domains (enteric fermentation, manure management, rice cultivation, synthetic fertilizers, manure applied to soils, manure left on pastures, crop residues, cultivation of organic soils, burning of crop residues, burning of savanna, energy use), providing a picture of the contribution to the total amount of GHG emissions from agriculture. GHG emissions from agriculture consist of non-CO2 gases, namely methane (CH4) and nitrous oxide (N2O), produced by crop and livestock production and management activities. The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/index.html). GHG emissions are provided by country, regions and special groups, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed as Gg CO2 and CO2eq (from CH4 and N2O), by underlying agricultural emission sub-domain and by aggregate (agriculture total, agriculture total plus energy, agricultural soils)."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1961","185081.91"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1962","185357.27"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1963","191832.72"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1964","205749.77"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1965","211621.81"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1966","220139.63"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1967","224588.14"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1968","225308.24"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1969","228228.48"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1970","234545.96"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1971","247843.28"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1972","252455.81"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1973","253157.24"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1974","256668.09"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1975","258151.53"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1976","260791.81"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1977","255731.09"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1978","250936.60"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1979","250418.56"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1980","253618.88"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1981","251321.17"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1982","251584.45"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1983","255607.70"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1984","256194.61"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1985","256164.88"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1986","263315.33"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1987","269822.33"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1988","271722.48"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1989","281152.04"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1990","286083.00"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1991","289645.41"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1992","289818.57"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1993","287601.70"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1994","293931.72"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1995","310609.84"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1996","327884.96"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1997","296864.83"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1998","310941.59"
"Methane emissions (CH4) from agriculture (gigagrams)","China","1999","316598.79"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2000","315796.89"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2001","307083.59"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2002","299196.92"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2003","291387.66"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2004","298806.93"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2005","301535.53"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2006","300218.85"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2007","292512.03"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2008","296278.23"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2009","298327.11"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2010","301727.94"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2011","300403.84"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2012","298519.45"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2013","299579.89"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2014","300493.45"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2015","304955.41"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2016","307610.34"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2017","303135.46"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2030","383864.64"
"Methane emissions (CH4) from agriculture (gigagrams)","China","2050","416141.76"
"Indicator name: Methane (CH4) emissions, per capita  Data Source: null(http://edgar.jrc.ec.europa.eu/), European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v5.0 (1970 - 2015) of November 2019.(http://edgar.jrc.ec.europa.eu/)"
"Description: CH4 emission divided by the population expressed in kilogram per capita. CH4 emission is estimated using a model from the National Institute for Public Health and the Environment, the Netherlands (RIVM) by the following EDGAR divisions: energy, agriculture, waste and others. Others include industrial process emissions, nitrous oxide usage and tropical and temperate forest fires."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1970","76.98"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1971","76.38"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1972","74.90"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1973","74.78"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1974","75.59"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1975","75.19"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1976","75.36"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1977","74.86"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1978","75.83"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1979","77.79"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1980","78.61"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1981","78.78"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1982","78.12"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1983","76.40"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1984","76.07"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1985","77.27"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1986","76.15"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1987","73.81"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1988","71.86"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1989","71.19"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1990","69.64"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1991","65.40"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1992","60.95"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1993","57.76"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1994","55.43"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1995","54.01"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1996","51.80"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1997","50.38"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1998","48.20"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","1999","46.57"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2000","44.31"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2001","42.21"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2002","40.08"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2003","38.71"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2004","37.26"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2005","36.20"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2006","35.28"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2007","35.09"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2008","34.04"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2009","34.69"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2010","33.88"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2011","33.87"
"Methane (CH4) emissions, per capita (Kg per capita)","Germany","2012","32.97"
"Indicator name: Nitrous oxide (N2O) emissions from agriculture  Data Source: FAO (http://www.fao.org/), FAOSTAT Agriculture database(http://faostat3.fao.org/home/E)"
"Description: Emissions produced in the different agricultural emissions sub-domains (enteric fermentation, manure management, rice cultivation, synthetic fertilizers, manure applied to soils, manure left on pastures, crop residues, cultivation of organic soils, burning of crop residues, burning of savanna, energy use), providing a picture of the contribution to the total amount of GHG emissions from agriculture. GHG emissions from agriculture consist of non-CO2 gases, namely methane (CH4) and nitrous oxide (N2O), produced by crop and livestock production and management activities. The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/index.html). GHG emissions are provided by country, regions and special groups, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed as Gg CO2 and CO2eq (from CH4 and N2O), by underlying agricultural emission sub-domain and by aggregate (agriculture total, agriculture total plus energy, agricultural soils)."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1961","22827.88"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1962","24363.25"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1963","24260.72"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1964","24850.83"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1965","25905.02"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1966","26468.92"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1967","27166.53"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1968","27997.28"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1969","28781.54"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1970","29221.63"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1971","29911.32"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1972","30608.43"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1973","30367.93"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1974","31622.15"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1975","31713.82"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1976","32640.36"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1977","33006.99"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1978","33795.69"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1979","34463.16"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1980","35050.71"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1981","33701.62"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1982","34505.38"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1983","33770.45"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1984","34956.75"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1985","35927.68"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1986","35845.43"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1987","35983.82"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1988","35982.41"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1989","34664.99"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1990","35678.24"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1991","34091.79"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1992","31809.11"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1993","30941.19"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1994","31937.79"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1995","31969.77"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1996","31903.94"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1997","32231.70"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1998","32587.21"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","1999","33198.54"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2000","31916.44"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2001","31711.16"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2002","31121.69"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2003","30851.57"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2004","30887.13"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2005","30624.62"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2006","29058.49"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2007","30271.70"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2008","29376.00"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2009","29444.46"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2010","30330.08"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2011","29199.52"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2012","29460.25"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2013","30016.01"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2014","31153.33"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2015","30217.27"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2016","29608.09"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2017","28514.27"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2030","29804.53"
"Nitrous oxide (N2O) emissions from agriculture (gigagrams)","Germany","2050","29194.94"
"Indicator name: Methane emissions (CH4) from agriculture  Data Source: FAO (http://www.fao.org/), FAOSTAT Agriculture database(http://faostat3.fao.org/home/E)"
"Description: Emissions produced in the different agricultural emissions sub-domains (enteric fermentation, manure management, rice cultivation, synthetic fertilizers, manure applied to soils, manure left on pastures, crop residues, cultivation of organic soils, burning of crop residues, burning of savanna, energy use), providing a picture of the contribution to the total amount of GHG emissions from agriculture. GHG emissions from agriculture consist of non-CO2 gases, namely methane (CH4) and nitrous oxide (N2O), produced by crop and livestock production and management activities. The FAOSTAT emissions database is computed following Tier 1 IPCC 2006 Guidelines for National GHG Inventories (http://www.ipcc-nggip.iges.or.jp/public/2006gl/index.html). GHG emissions are provided by country, regions and special groups, with global coverage, relative to the period 1961-present (with annual updates) and with projections for 2030 and 2050, expressed as Gg CO2 and CO2eq (from CH4 and N2O), by underlying agricultural emission sub-domain and by aggregate (agriculture total, agriculture total plus energy, agricultural soils)."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1961","41173.58"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1962","41859.37"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1963","41638.23"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1964","41383.84"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1965","41672.62"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1966","42623.56"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1967","43248.91"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1968","43531.07"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1969","43734.69"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1970","43665.69"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1971","43506.51"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1972","42942.87"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1973","43507.02"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1974","44452.69"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1975","44621.77"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1976","44560.01"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1977","44645.92"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1978","45361.96"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1979","45884.00"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1980","46016.50"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1981","46497.92"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1982","46709.62"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1983","46653.65"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1984","47451.08"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1985","47610.28"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1986","47445.15"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1987","46484.56"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1988","45522.16"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1989","44856.65"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1990","43733.01"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1991","40796.26"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1992","36427.29"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1993","35177.47"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1994","34697.41"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1995","34568.12"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1996","34244.43"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1997","34103.58"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1998","33090.71"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","1999","32636.60"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2000","31883.78"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2001","31646.60"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2002","31119.95"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2003","30255.67"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2004","29425.22"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2005","29260.48"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2006","28609.17"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2007","28619.69"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2008","29149.74"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2009","29080.35"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2010","28731.26"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2011","28515.68"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2012","28544.56"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2013","28785.60"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2014","29038.68"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2015","28779.61"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2016","28421.36"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2017","28188.07"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2030","28033.84"
"Methane emissions (CH4) from agriculture (gigagrams)","Germany","2050","26265.60"
"Indicator name: Nitrous oxide (N2O) emissions, Kt  Data Source: null(http://edgar.jrc.ec.europa.eu/), European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGAR v5.0 (1970 - 2015) of November 2019.(http://edgar.jrc.ec.europa.eu/)"
"Description: N2O emission is estimated using a model from the National Institute for Public Health and the Environment, the Netherlands (RIVM) by the following EDGAR divisions: energy, agriculture, waste and others. Others include industrial process emissions, nitrous oxide usage and tropical and temperate forest fires."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1970","250.73"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1971","250.18"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1972","249.36"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1973","260.05"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1974","258.81"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1975","252.34"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1976","252.38"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1977","246.83"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1978","251.31"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1979","258.50"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1980","251.75"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1981","243.92"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1982","237.33"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1983","239.36"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1984","249.03"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1985","248.47"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1986","238.99"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1987","237.48"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1988","233.22"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1989","237.27"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1990","223.14"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1991","220.08"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1992","221.75"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1993","211.48"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1994","222.85"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1995","215.79"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1996","220.74"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1997","211.90"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1998","156.02"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","1999","148.69"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2000","146.45"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2001","144.19"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2002","142.43"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2003","140.99"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2004","142.72"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2005","140.24"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2006","135.81"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2007","138.67"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2008","132.71"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2009","131.90"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2010","132.48"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2011","129.67"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2012","130.10"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2013","132.51"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2014","134.47"
"Nitrous oxide (N2O) emissions, Kt (Thousand tons)","Germany","2015","132.11"
"Indicator name: Greenhouse gas (GHG) emissions from agriculture  Data Source: FAO (http://www.fao.org/), FAOSTAT Agriculture database(http://faostat3.fao.org/home/E)"
"Description: Total greenhouse gas emissions from agriculture contain all the emissions produced in the different agricultural emissions sub-domains, providing a picture of the contribution to the total amount of GHG emissions from agriculture. GHG emissions from agriculture consist of non-CO2 gases, namely methane (CH4) and nitrous oxide (N2O), produced by crop and livestock production and management activities."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1961","284359.57"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1961","284359.57"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1962","292439.39"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1962","292439.39"
"Greenhouse gas (GHG) emissions from agriculture (Thousand tons of CO2 equivalent)","United States of America","1963","300768.41"
